timestamp,cnt,t1,t2,hum,wind_speed,weather_code,is_holiday,is_weekend,season
2015-01-04 00:00:00,182,3.0,2.0,93.0,6.0,3.0,0.0,1.0,3.0
2015-01-04 01:00:00,138,3.0,2.5,93.0,5.0,1.0,0.0,1.0,3.0
2015-01-04 02:00:00,134,2.5,2.5,96.5,0.0,1.0,0.0,1.0,3.0
2015-01-04 03:00:00,72,2.0,2.0,100.0,0.0,1.0,0.0,1.0,3.0
2015-01-04 04:00:00,47,2.0,0.0,93.0,6.5,1.0,0.0,1.0,3.0
2015-01-04 05:00:00,46,2.0,2.0,93.0,4.0,1.0,0.0,1.0,3.0
2015-01-04 06:00:00,51,1.0,-1.0,100.0,7.0,4.0,0.0,1.0,3.0
2015-01-04 07:00:00,75,1.0,-1.0,100.0,7.0,4.0,0.0,1.0,3.0
2015-01-04 08:00:00,131,1.5,-1.0,96.5,8.0,4.0,0.0,1.0,3.0
2015-01-04 09:00:00,301,2.0,-0.5,100.0,9.0,3.0,0.0,1.0,3.0
2015-01-04 10:00:00,528,3.0,-0.5,93.0,12.0,3.0,0.0,1.0,3.0
2015-01-04 11:00:00,727,2.0,-1.5,100.0,12.0,3.0,0.0,1.0,3.0
2015-01-04 12:00:00,862,2.0,-1.5,96.5,13.0,4.0,0.0,1.0,3.0
2015-01-04 13:00:00,916,3.0,-0.5,87.0,15.0,3.0,0.0,1.0,3.0
2015-01-04 14:00:00,1039,2.5,0.0,90.0,8.0,3.0,0.0,1.0,3.0
2015-01-04 15:00:00,869,2.0,-1.5,93.0,11.0,3.0,0.0,1.0,3.0
2015-01-04 16:00:00,737,3.0,0.0,93.0,12.0,3.0,0.0,1.0,3.0
2015-01-04 17:00:00,594,3.0,0.0,93.0,11.0,3.0,0.0,1.0,3.0
2015-01-04 18:00:00,522,3.0,1.5,93.0,6.5,3.0,0.0,1.0,3.0
2015-01-04 19:00:00,379,3.0,1.0,93.0,7.0,3.0,0.0,1.0,3.0
2015-01-04 20:00:00,328,3.0,3.0,93.0,4.0,3.0,0.0,1.0,3.0
2015-01-04 21:00:00,221,3.0,2.5,93.0,5.0,4.0,0.0,1.0,3.0
2015-01-04 22:00:00,178,3.0,2.0,93.0,6.0,4.0,0.0,1.0,3.0
2015-01-04 23:00:00,157,4.0,3.5,87.0,5.0,4.0,0.0,1.0,3.0
2015-01-05 00:00:00,83,4.0,3.0,93.0,6.0,4.0,0.0,0.0,3.0
2015-01-05 01:00:00,67,4.0,3.5,93.0,5.0,4.0,0.0,0.0,3.0
2015-01-05 02:00:00,32,5.0,4.0,87.0,6.0,4.0,0.0,0.0,3.0
2015-01-05 03:00:00,22,6.0,4.5,84.0,7.5,4.0,0.0,0.0,3.0
2015-01-05 04:00:00,38,6.5,5.0,84.0,8.0,4.0,0.0,0.0,3.0
2015-01-05 05:00:00,81,6.0,5.5,87.0,5.0,4.0,0.0,0.0,3.0
2015-01-05 06:00:00,444,7.0,6.5,81.0,5.0,3.0,0.0,0.0,3.0
2015-01-05 07:00:00,1597,7.0,6.0,81.0,6.5,3.0,0.0,0.0,3.0
2015-01-05 08:00:00,3161,8.0,7.5,79.0,5.0,3.0,0.0,0.0,3.0
2015-01-05 09:00:00,1342,8.0,7.0,82.0,6.0,3.0,0.0,0.0,3.0
2015-01-05 10:00:00,568,9.0,8.0,84.5,6.5,3.0,0.0,0.0,3.0
2015-01-05 11:00:00,584,9.0,7.5,90.5,10.0,3.0,0.0,0.0,3.0
2015-01-05 12:00:00,762,10.0,8.0,85.0,11.0,3.0,0.0,0.0,3.0
2015-01-05 13:00:00,873,10.0,8.5,82.0,10.0,3.0,0.0,0.0,3.0
2015-01-05 14:00:00,672,10.0,9.0,82.0,9.0,3.0,0.0,0.0,3.0
2015-01-05 15:00:00,807,10.0,8.5,79.0,10.0,3.0,0.0,0.0,3.0
2015-01-05 16:00:00,1192,10.0,8.5,73.5,13.0,3.0,0.0,0.0,3.0
2015-01-05 17:00:00,2761,9.5,7.5,73.5,12.0,3.0,0.0,0.0,3.0
2015-01-05 18:00:00,2389,9.5,7.5,69.0,14.0,3.0,0.0,0.0,3.0
2015-01-05 19:00:00,1274,9.0,6.5,71.0,14.0,3.0,0.0,0.0,3.0
2015-01-05 20:00:00,696,9.0,7.0,71.0,14.0,3.0,0.0,0.0,3.0
2015-01-05 21:00:00,411,9.0,7.0,71.0,11.0,3.0,0.0,0.0,3.0
2015-01-05 22:00:00,324,9.0,7.5,71.0,10.0,4.0,0.0,0.0,3.0
2015-01-05 23:00:00,192,8.5,7.5,73.5,8.0,4.0,0.0,0.0,3.0
2015-01-06 00:00:00,91,8.0,6.5,76.0,8.0,4.0,0.0,0.0,3.0
2015-01-06 01:00:00,73,8.0,6.5,76.0,8.0,4.0,0.0,0.0,3.0
2015-01-06 02:00:00,33,8.0,6.0,76.0,11.0,4.0,0.0,0.0,3.0
2015-01-06 03:00:00,19,8.0,5.5,76.0,14.0,4.0,0.0,0.0,3.0
2015-01-06 04:00:00,40,8.5,6.5,73.5,11.0,4.0,0.0,0.0,3.0
2015-01-06 05:00:00,74,8.0,5.5,82.0,14.0,4.0,0.0,0.0,3.0
2015-01-06 06:00:00,530,8.0,5.0,84.5,15.0,3.0,0.0,0.0,3.0
2015-01-06 07:00:00,1715,9.0,7.0,82.0,13.0,3.0,0.0,0.0,3.0
2015-01-06 08:00:00,3534,9.0,7.0,82.0,12.0,7.0,0.0,0.0,3.0
2015-01-06 09:00:00,1573,9.0,6.5,87.0,16.0,7.0,0.0,0.0,3.0
2015-01-06 10:00:00,635,10.0,7.5,88.0,19.5,3.0,0.0,0.0,3.0
2015-01-06 11:00:00,550,10.0,8.0,88.0,18.0,3.0,0.0,0.0,3.0
2015-01-06 12:00:00,395,11.0,11.0,85.0,19.0,7.0,0.0,0.0,3.0
2015-01-06 13:00:00,426,9.5,6.0,84.5,27.5,3.0,0.0,0.0,3.0
2015-01-06 14:00:00,579,9.0,6.0,71.0,26.0,3.0,0.0,0.0,3.0
2015-01-06 15:00:00,718,8.0,4.5,71.0,23.0,2.0,0.0,0.0,3.0
2015-01-06 16:00:00,1184,8.0,5.0,68.5,19.5,2.0,0.0,0.0,3.0
2015-01-06 17:00:00,2662,7.5,4.0,71.0,22.0,1.0,0.0,0.0,3.0
2015-01-06 18:00:00,2610,7.0,4.0,71.0,17.5,1.0,0.0,0.0,3.0
2015-01-06 19:00:00,1402,6.0,3.0,76.0,15.0,1.0,0.0,0.0,3.0
2015-01-06 20:00:00,720,5.5,2.5,78.5,15.0,1.0,0.0,0.0,3.0
2015-01-06 21:00:00,494,5.0,2.0,81.0,15.0,1.0,0.0,0.0,3.0
2015-01-06 22:00:00,344,4.5,1.5,81.0,13.0,1.0,0.0,0.0,3.0
2015-01-06 23:00:00,212,4.0,1.0,84.0,12.0,1.0,0.0,0.0,3.0
2015-01-07 00:00:00,102,4.0,1.0,81.0,12.0,1.0,0.0,0.0,3.0
2015-01-07 01:00:00,60,4.0,1.0,81.0,11.0,1.0,0.0,0.0,3.0
2015-01-07 02:00:00,33,4.0,1.5,81.0,10.0,1.0,0.0,0.0,3.0
2015-01-07 03:00:00,26,3.5,1.0,84.0,9.0,2.0,0.0,0.0,3.0
2015-01-07 04:00:00,33,4.0,1.5,81.0,10.0,2.0,0.0,0.0,3.0
2015-01-07 05:00:00,80,4.0,2.0,87.0,9.0,1.0,0.0,0.0,3.0
2015-01-07 06:00:00,526,5.0,2.5,81.0,10.0,1.0,0.0,0.0,3.0
2015-01-07 07:00:00,1757,5.5,2.5,81.0,13.0,1.0,0.0,0.0,3.0
2015-01-07 08:00:00,3618,6.5,3.5,81.0,15.0,2.0,0.0,0.0,3.0
2015-01-07 09:00:00,1714,8.0,5.0,76.0,19.0,3.0,0.0,0.0,3.0
2015-01-07 10:00:00,763,8.0,5.0,82.0,19.5,2.0,0.0,0.0,3.0
2015-01-07 11:00:00,690,9.0,6.0,76.0,21.0,2.0,0.0,0.0,3.0
2015-01-07 12:00:00,913,9.0,5.5,76.0,27.0,2.0,0.0,0.0,3.0
2015-01-07 13:00:00,982,9.5,6.0,71.5,28.0,2.0,0.0,0.0,3.0
2015-01-07 14:00:00,783,10.0,6.5,62.0,28.5,2.0,0.0,0.0,3.0
2015-01-07 15:00:00,794,9.0,6.0,68.5,25.0,2.0,0.0,0.0,3.0
2015-01-07 16:00:00,1171,9.0,6.0,76.0,25.0,3.0,0.0,0.0,3.0
2015-01-07 17:00:00,2647,9.5,6.5,71.5,24.0,3.0,0.0,0.0,3.0
2015-01-07 18:00:00,2579,10.0,7.0,71.0,30.0,3.0,0.0,0.0,3.0
2015-01-07 20:00:00,657,10.0,6.5,79.0,30.5,3.0,0.0,0.0,3.0
2015-01-07 21:00:00,516,10.0,7.0,82.0,27.0,7.0,0.0,0.0,3.0
2015-01-07 22:00:00,414,10.0,7.0,82.0,27.0,7.0,0.0,0.0,3.0
2015-01-07 23:00:00,206,10.0,7.0,85.0,24.0,7.0,0.0,0.0,3.0
2015-01-08 00:00:00,123,11.0,11.0,82.0,26.0,4.0,0.0,0.0,3.0
2015-01-08 01:00:00,56,11.5,11.5,85.0,24.0,3.0,0.0,0.0,3.0
2015-01-08 02:00:00,51,12.0,12.0,82.0,25.0,3.0,0.0,0.0,3.0
2015-01-08 03:00:00,33,12.0,12.0,85.0,22.0,3.0,0.0,0.0,3.0
2015-01-08 04:00:00,32,12.0,12.0,88.0,20.5,7.0,0.0,0.0,3.0
2015-01-08 05:00:00,87,12.0,12.0,80.0,20.5,7.0,0.0,0.0,3.0
2015-01-08 06:00:00,511,11.5,11.5,74.5,17.0,3.0,0.0,0.0,3.0
2015-01-08 07:00:00,982,10.5,9.5,82.5,17.0,7.0,0.0,0.0,3.0
2015-01-08 08:00:00,1228,9.5,7.5,87.5,14.0,7.0,0.0,0.0,3.0
2015-01-08 09:00:00,573,9.0,7.0,87.0,13.0,7.0,0.0,0.0,3.0
2015-01-08 10:00:00,185,9.0,7.0,87.0,14.0,7.0,0.0,0.0,3.0
2015-01-08 11:00:00,193,9.0,6.0,82.0,20.5,7.0,0.0,0.0,3.0
2015-01-08 12:00:00,522,9.0,6.5,84.5,17.0,2.0,0.0,0.0,3.0
2015-01-08 13:00:00,672,9.0,5.5,79.0,27.0,2.0,0.0,0.0,3.0
2015-01-08 14:00:00,761,10.0,7.0,71.0,22.0,2.0,0.0,0.0,3.0
2015-01-08 15:00:00,781,9.0,6.0,71.0,22.0,2.0,0.0,0.0,3.0
2015-01-08 16:00:00,1212,9.0,6.0,71.0,19.5,2.0,0.0,0.0,3.0
2015-01-08 17:00:00,2351,9.0,6.0,76.0,22.0,2.0,0.0,0.0,3.0
2015-01-08 18:00:00,2110,8.5,5.5,73.5,22.5,1.0,0.0,0.0,3.0
2015-01-08 19:00:00,1239,8.0,5.0,73.5,20.5,1.0,0.0,0.0,3.0
2015-01-08 20:00:00,752,8.0,5.0,76.0,17.0,1.0,0.0,0.0,3.0
2015-01-08 21:00:00,457,8.0,4.5,76.0,20.5,1.0,0.0,0.0,3.0
2015-01-08 22:00:00,423,8.5,5.5,73.5,21.0,1.0,0.0,0.0,3.0
2015-01-08 23:00:00,267,9.0,5.5,76.0,27.0,2.0,0.0,0.0,3.0
2015-01-09 00:00:00,147,10.0,7.0,71.0,28.0,2.0,0.0,0.0,3.0
