"";"value";"experimentVariant"
"1";10,3804953740268;"Control"
"2";9,54686666784264;"Control"
"3";11,0882146509904;"Control"
"4";10,1472740570122;"Control"
"5";9,78980767524929;"Control"
"6";8,73578048192978;"Control"
"7";10,7806383791004;"Control"
"8";11,1393983918781;"Control"
"9";10,0675199319953;"Control"
"10";9,53130741186623;"Control"
"11";11,6019437103945;"Control"
"12";12,389786234284;"Control"
"13";9,58267213180535;"Control"
"14";10,5378674851477;"Control"
"15";9,01993741613367;"Control"
"16";8,94842155753232;"Control"
"17";9,17231178971289;"Control"
"18";12,1558070614418;"Control"
"19";10,1560934694132;"Control"
"20";10,2700535743602;"Control"
"21";9,7736902808003;"Control"
"22";10,2008203623341;"Control"
"23";10,3507972292203;"Control"
"24";9,45995070491857;"Control"
"25";11,1479068291969;"Control"
"26";10,1152619181507;"Control"
"27";9,96717734565128;"Control"
"28";10,5231201980007;"Control"
"29";9,83353253784834;"Control"
"30";10,6807432731733;"Control"
"31";8,87535930869717;"Control"
"32";10,5679610657059;"Control"
"33";10,1991485435955;"Control"
"34";9,90197009615303;"Control"
"35";11,6371877317264;"Control"
"36";9,01032810426802;"Control"
"37";9,21910793851577;"Control"
"38";11,2263662485823;"Control"
"39";9,65938568546489;"Control"
"40";9,84253515168427;"Control"
"41";8,75261510863016;"Control"
"42";10,392660866535;"Control"
"43";11,1019488266369;"Control"
"44";9,49197989560515;"Control"
"45";8,31031501249372;"Control"
"46";8,78435095027286;"Control"
"47";10,5508934132957;"Control"
"48";10,0990560108317;"Control"
"49";9,49269600637405;"Control"
"50";8,51186119058183;"Control"
"51";8,62258775872863;"Control"
"52";8,01854769407949;"Control"
"53";10,2808274454833;"Control"
"54";10,6922160535263;"Control"
"55";10,9623961647586;"Control"
"56";9,36472220404069;"Control"
"57";11,0862981076737;"Control"
"58";10,3201316089802;"Control"
"59";10,7097404054181;"Control"
"60";9,92077900719597;"Control"
"61";9,47429457527517;"Control"
"62";9,30891087875064;"Control"
"63";10,750583981031;"Control"
"64";10,4086452594968;"Control"
"65";10,1066084939791;"Control"
"66";8,6303650937324;"Control"
"67";9,90731428186719;"Control"
"68";8,61094581688063;"Control"
"69";7,66352098209058;"Control"
"70";9,42460667083465;"Control"
"71";8,6402838822717;"Control"
"72";10,563114224244;"Control"
"73";10,0380691123625;"Control"
"74";11,1916726878073;"Control"
"75";9,27906276012327;"Control"
"76";10,3998449281524;"Control"
"77";9,73294595891507;"Control"
"78";11,7902902523105;"Control"
"79";9,02810923677069;"Control"
"80";9,95800621855637;"Control"
"81";10,0761381665361;"Control"
"82";9,69062314589394;"Control"
"83";10,8703330830034;"Control"
"84";9,0104564819325;"Control"
"85";10,818234015957;"Control"
"86";9,72715516581524;"Control"
"87";10,5468456026665;"Control"
"88";10,9457147877428;"Control"
"89";9,74880280490602;"Control"
"90";9,06527877722864;"Control"
"91";9,51274160969535;"Control"
"92";9,58674143509444;"Control"
"93";8,59520353080504;"Control"
"94";9,8768552153988;"Control"
"95";11,0122655326024;"Control"
"96";9,90406651018951;"Control"
"97";9,68769523568993;"Control"
"98";9,08901878152633;"Control"
"99";8,16178651137898;"Control"
"100";10,2123541450264;"Control"
"101";11,5615917488697;"Control"
"102";9,03545519352548;"Control"
"103";9,54047522888559;"Control"
"104";8,74380843585841;"Control"
"105";9,16899035792041;"Control"
"106";11,2156213223071;"Control"
"107";10,3977670098527;"Control"
"108";10,0055875175214;"Control"
"109";10,9552290403747;"Control"
"110";9,55663790062202;"Control"
"111";9,67013687703563;"Control"
"112";10,6356796161162;"Control"
"113";11,321477243041;"Control"
"114";10,6835309806202;"Control"
"115";9,62145931763801;"Control"
"116";8,75187734866859;"Control"
"117";9,57239414674053;"Control"
"118";9,93506275203319;"Control"
"119";9,66214559870953;"Control"
"120";10,6674990710866;"Control"
"121";9,28425635928044;"Control"
"122";11,3973215688464;"Control"
"123";10,4487369185371;"Control"
"124";10,0476238920443;"Control"
"125";10,6343316448239;"Control"
"126";9,82571538254779;"Control"
"127";11,0723179217567;"Control"
"128";9,84952217311273;"Control"
"129";8,94001475391922;"Control"
"130";9,34986891752392;"Control"
"131";10,2443087138118;"Control"
"132";8,23688204153558;"Control"
"133";12,161718219671;"Control"
"134";10,3022317665543;"Control"
"135";8,6590310742107;"Control"
"136";11,6603877811682;"Control"
"137";9,79929731727153;"Control"
"138";8,67983114318386;"Control"
"139";8,23780703776328;"Control"
"140";10,3250979035284;"Control"
"141";9,73274588565486;"Control"
"142";10,3749416699379;"Control"
"143";9,72676258749484;"Control"
"144";9,43864778789715;"Control"
"145";10,5957059958756;"Control"
"146";10,4095536156094;"Control"
"147";8,69392852196967;"Control"
"148";10,1442410473548;"Control"
"149";9,28478013646598;"Control"
"150";9,04523301554076;"Control"
"151";7,88392562549008;"Control"
"152";10,7138418634119;"Control"
"153";10,3927384275004;"Control"
"154";10,9115205029945;"Control"
"155";9,68705396978089;"Control"
"156";9,13600407714125;"Control"
"157";9,53313082166801;"Control"
"158";11,0568840137723;"Control"
"159";10,1589121298802;"Control"
"160";9,91416070854831;"Control"
"161";10,4404414753215;"Control"
"162";8,70352503591917;"Control"
"163";10,2303244341394;"Control"
"164";9,56784513309512;"Control"
"165";6,43654075863162;"Control"
"166";11,327989477114;"Control"
"167";11,0560207170234;"Control"
"168";10,1317800819068;"Control"
"169";11,7687666255786;"Control"
"170";10,6746688379177;"Control"
"171";9,88099158126749;"Control"
"172";13,130345728722;"Control"
"173";9,91893798064315;"Control"
"174";8,96178806067313;"Control"
"175";9,9549066532562;"Control"
"176";10,3922257753302;"Control"
"177";10,0146485844658;"Control"
"178";10,2666517089061;"Control"
"179";9,92503787937038;"Control"
"180";9,92272043226482;"Control"
"181";8,98358590930101;"Control"
"182";9,70106526081466;"Control"
"183";10,768285478329;"Control"
"184";10,8732043827632;"Control"
"185";11,7290771802922;"Control"
"186";9,73347361257598;"Control"
"187";10,8338613324143;"Control"
"188";8,86471594976712;"Control"
"189";10,8275376177245;"Control"
"190";10,6871270183302;"Control"
"191";10,1170586779806;"Control"
"192";10,3521729158375;"Control"
"193";9,3592918552447;"Control"
"194";9,5330578748168;"Control"
"195";9,46217077537818;"Control"
"196";12,8175405884834;"Control"
"197";8,56237360614709;"Control"
"198";10,318180318244;"Control"
"199";11,8784790066815;"Control"
"200";8,12510339864959;"Control"
"201";9,86566511525725;"Control"
"202";10,7871261941197;"Control"
"203";9,45798917801567;"Control"
"204";10,3880823335873;"Control"
"205";10,368086637447;"Control"
"206";9,84129699117314;"Control"
"207";9,15343791715299;"Control"
"208";9,81279281344076;"Control"
"209";9,95801596704523;"Control"
"210";10,7115749090493;"Control"
